ticker_1,ticker_2,ticker_3,sector,johansen_rank,cointegrated,rank2,trace_stat_0,trace_cv_0,trace_stat_1,trace_cv_1,w1,w2,w3,half_life_days,hl_tradeable
TORNTPHARM.NS,ABBOTINDIA.NS,GLENMARK.NS,pharma,2,True,True,53.3172,29.7961,18.4934,15.4943,1.0,-0.826794,-0.28866,13.89,True
DIVISLAB.NS,BIOCON.NS,LAURUSLABS.NS,pharma,2,True,True,43.4108,29.7961,19.726,15.4943,1.0,-0.314568,-0.410117,33.7,True
DRREDDY.NS,AUROPHARMA.NS,LAURUSLABS.NS,pharma,2,True,True,41.4387,29.7961,16.3653,15.4943,1.0,-0.442993,-0.203139,63.75,True
DRREDDY.NS,ZYDUSLIFE.NS,GLENMARK.NS,pharma,2,True,True,39.7549,29.7961,15.8609,15.4943,1.0,-2.925622,2.335198,70.03,True
DIVISLAB.NS,LAURUSLABS.NS,NATCOPHARM.NS,pharma,2,True,True,34.2881,29.7961,16.9974,15.4943,1.0,-0.249272,-0.762525,45.09,True
DRREDDY.NS,LAURUSLABS.NS,NATCOPHARM.NS,pharma,2,True,True,33.8758,29.7961,16.286,15.4943,1.0,0.484557,-3.701831,101.66,True
IPCALAB.NS,SANOFI.NS,LAURUSLABS.NS,pharma,2,True,True,33.6645,29.7961,17.0807,15.4943,1.0,-1.278758,-0.09254,43.04,True
DIVISLAB.NS,IPCALAB.NS,LAURUSLABS.NS,pharma,2,True,True,32.7001,29.7961,17.3942,15.4943,1.0,-0.309761,-0.332126,28.07,True
IPCALAB.NS,LAURUSLABS.NS,GRANULES.NS,pharma,2,True,True,32.0833,29.7961,16.8715,15.4943,1.0,1.198899,-2.515752,84.0,True
DRREDDY.NS,GRANULES.NS,GLENMARK.NS,pharma,1,True,False,47.5533,29.7961,12.357,15.4943,1.0,-0.402011,-0.251832,20.97,True
CIPLA.NS,TORNTPHARM.NS,ABBOTINDIA.NS,pharma,1,True,False,42.8855,29.7961,14.6059,15.4943,1.0,-2.725335,1.750952,20.31,True
AUROPHARMA.NS,TORNTPHARM.NS,ABBOTINDIA.NS,pharma,1,True,False,41.0239,29.7961,8.2474,15.4943,1.0,-3.844281,3.709566,19.58,True
PFIZER.NS,ZYDUSLIFE.NS,GLENMARK.NS,pharma,1,True,False,40.9423,29.7961,5.9109,15.4943,1.0,-1.438782,1.269625,50.68,True
DRREDDY.NS,ZYDUSLIFE.NS,GRANULES.NS,pharma,1,True,False,40.8858,29.7961,8.1431,15.4943,1.0,-0.347597,-0.296759,15.05,True
BHARATFORG.NS,SUNDRMFAST.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,40.6832,29.7961,13.7227,15.4943,1.0,-2.206951,1.51009,17.15,True
BIOCON.NS,ABBOTINDIA.NS,LAURUSLABS.NS,pharma,1,True,False,39.9936,29.7961,12.4308,15.4943,1.0,0.579646,-0.259906,92.01,True
DRREDDY.NS,IPCALAB.NS,GLENMARK.NS,pharma,1,True,False,39.8742,29.7961,9.4845,15.4943,1.0,-0.520412,-0.339264,32.49,True
ABBOTINDIA.NS,ZYDUSLIFE.NS,GLENMARK.NS,pharma,1,True,False,39.7552,29.7961,13.2715,15.4943,1.0,15.401639,-15.399072,88.93,True
DIVISLAB.NS,ZYDUSLIFE.NS,GLENMARK.NS,pharma,1,True,False,39.4518,29.7961,5.6188,15.4943,1.0,-2.641577,2.054408,72.34,True
BALKRISIND.NS,SUNDRMFAST.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,39.2809,29.7961,12.3197,15.4943,1.0,2.219393,-3.574383,24.79,True
BALKRISIND.NS,ENDURANCE.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,38.9284,29.7961,15.0837,15.4943,1.0,1.375499,-1.927759,42.43,True
IPCALAB.NS,ZYDUSLIFE.NS,GLENMARK.NS,pharma,1,True,False,38.8711,29.7961,7.5288,15.4943,1.0,-2.605003,2.146814,58.24,True
MOTHERSON.NS,SCHAEFFLER.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,38.8302,29.7961,10.8251,15.4943,1.0,0.358771,-1.442022,17.21,True
TORNTPHARM.NS,ALKEM.NS,ABBOTINDIA.NS,pharma,1,True,False,38.5916,29.7961,14.901,15.4943,1.0,-0.411846,-0.692267,26.79,True
TORNTPHARM.NS,ABBOTINDIA.NS,ZYDUSLIFE.NS,pharma,1,True,False,38.5084,29.7961,11.3466,15.4943,1.0,-0.877257,-0.21846,26.69,True
ALKEM.NS,ABBOTINDIA.NS,ZYDUSLIFE.NS,pharma,1,True,False,38.2259,29.7961,11.0202,15.4943,1.0,-0.925704,-0.14484,45.66,True
MOTHERSON.NS,SUNDRMFAST.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,38.1258,29.7961,9.3845,15.4943,1.0,1.566458,-2.691974,18.69,True
SUNDRMFAST.NS,ENDURANCE.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,37.8485,29.7961,11.1483,15.4943,1.0,0.517318,-1.46174,20.49,True
ALKEM.NS,ZYDUSLIFE.NS,GLENMARK.NS,pharma,1,True,False,37.801,29.7961,11.0547,15.4943,1.0,-2.559907,1.947315,66.71,True
ALKEM.NS,IPCALAB.NS,BIOCON.NS,pharma,1,True,False,37.0871,29.7961,3.6357,15.4943,1.0,-1.193606,0.880151,16.16,True
LUPIN.NS,TORNTPHARM.NS,ABBOTINDIA.NS,pharma,1,True,False,36.8924,29.7961,8.5065,15.4943,1.0,-3.868624,3.566636,22.03,True
ZYDUSLIFE.NS,LAURUSLABS.NS,GLENMARK.NS,pharma,1,True,False,36.7856,29.7961,5.0088,15.4943,1.0,-0.155359,-0.797193,77.9,True
DRREDDY.NS,AUROPHARMA.NS,GRANULES.NS,pharma,1,True,False,36.7394,29.7961,8.2343,15.4943,1.0,-0.209113,-0.444049,26.11,True
BIOCON.NS,PFIZER.NS,LAURUSLABS.NS,pharma,1,True,False,36.602,29.7961,14.6827,15.4943,1.0,-1.093081,0.08227,50.98,True
TORNTPHARM.NS,ALKEM.NS,GLENMARK.NS,pharma,1,True,False,36.3131,29.7961,13.615,15.4943,1.0,-0.847482,-0.194556,30.4,True
ZYDUSLIFE.NS,SANOFI.NS,GLENMARK.NS,pharma,1,True,False,36.2922,29.7961,11.2851,15.4943,1.0,0.10713,-1.064002,79.11,True
BOSCHLTD.NS,BALKRISIND.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,36.2799,29.7961,10.4191,15.4943,1.0,1.009041,-1.421623,42.51,True
DRREDDY.NS,LAURUSLABS.NS,GLENMARK.NS,pharma,1,True,False,35.9623,29.7961,8.5261,15.4943,1.0,-0.180683,-0.338139,61.9,True
ZYDUSLIFE.NS,NATCOPHARM.NS,GLENMARK.NS,pharma,1,True,False,35.7942,29.7961,8.0782,15.4943,1.0,-0.467253,-0.81084,80.96,True
SUNPHARMA.NS,TORNTPHARM.NS,ABBOTINDIA.NS,pharma,1,True,False,35.6967,29.7961,13.9627,15.4943,1.0,-20.842977,21.895755,31.55,True
AUROPHARMA.NS,ZYDUSLIFE.NS,LAURUSLABS.NS,pharma,1,True,False,35.6675,29.7961,7.6906,15.4943,1.0,-0.913569,0.137131,111.5,True
GLAXO.NS,ZYDUSLIFE.NS,GLENMARK.NS,pharma,1,True,False,35.4812,29.7961,10.8645,15.4943,1.0,-4.899032,4.839158,75.7,True
SUNDRMFAST.NS,EXIDEIND.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,35.4769,29.7961,2.5728,15.4943,1.0,-0.330003,-1.00541,15.61,True
ZYDUSLIFE.NS,GRANULES.NS,GLENMARK.NS,pharma,1,True,False,35.3943,29.7961,7.7789,15.4943,1.0,-0.252743,-0.775335,58.78,True
BALKRISIND.NS,SCHAEFFLER.NS,TIINDIA.NS,auto_ancillary,1,True,False,35.3523,29.7961,12.5487,15.4943,1.0,0.683367,-0.914309,27.49,True
DRREDDY.NS,PFIZER.NS,GLENMARK.NS,pharma,1,True,False,34.9514,29.7961,8.8304,15.4943,1.0,-0.687593,-0.476527,42.33,True
ALKEM.NS,ABBOTINDIA.NS,GLENMARK.NS,pharma,1,True,False,34.7895,29.7961,11.1138,15.4943,1.0,-1.063277,-0.109071,46.54,True
SUNPHARMA.NS,BIOCON.NS,LAURUSLABS.NS,pharma,1,True,False,34.6699,29.7961,5.0235,15.4943,1.0,2.024326,-0.648483,48.58,True
DIVISLAB.NS,PFIZER.NS,LAURUSLABS.NS,pharma,1,True,False,34.5243,29.7961,14.1377,15.4943,1.0,-0.577545,-0.330862,22.52,True
LUPIN.NS,ZYDUSLIFE.NS,GLENMARK.NS,pharma,1,True,False,34.3713,29.7961,6.8505,15.4943,1.0,1.53091,-2.353597,60.04,True
SCHAEFFLER.NS,ENDURANCE.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,34.2225,29.7961,10.0579,15.4943,1.0,3.170831,-3.545236,19.72,True
AUROPHARMA.NS,ALKEM.NS,ABBOTINDIA.NS,pharma,1,True,False,34.1616,29.7961,7.7024,15.4943,1.0,-4.044554,3.708015,30.97,True
LUPIN.NS,DIVISLAB.NS,NATCOPHARM.NS,pharma,1,True,False,34.1361,29.7961,4.4513,15.4943,1.0,0.613221,-1.734664,35.03,True
SUNDRMFAST.NS,MINDACORP.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,34.0923,29.7961,10.8025,15.4943,1.0,-0.201317,-0.826015,21.66,True
MOTHERSON.NS,ENDURANCE.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,34.0059,29.7961,15.4664,15.4943,1.0,0.498269,-1.291685,34.93,True
DRREDDY.NS,TORNTPHARM.NS,ABBOTINDIA.NS,pharma,1,True,False,33.9913,29.7961,9.8424,15.4943,1.0,-2.738511,2.217145,27.17,True
TORNTPHARM.NS,ABBOTINDIA.NS,GLAXO.NS,pharma,1,True,False,33.5772,29.7961,8.9416,15.4943,1.0,-0.909379,-0.432277,25.51,True
BHARATFORG.NS,BALKRISIND.NS,GABRIEL.NS,auto_ancillary,1,True,False,33.448,29.7961,7.0068,15.4943,1.0,-0.49173,-0.485758,26.19,True
MOTHERSON.NS,BALKRISIND.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,33.4256,29.7961,11.9104,15.4943,1.0,0.605726,-1.619749,39.7,True
ALKEM.NS,BIOCON.NS,LAURUSLABS.NS,pharma,1,True,False,33.4018,29.7961,8.2908,15.4943,1.0,1.761372,-0.506473,104.25,True
DRREDDY.NS,DIVISLAB.NS,GLENMARK.NS,pharma,1,True,False,33.3479,29.7961,7.8356,15.4943,1.0,-0.375736,-0.367995,55.62,True
TORNTPHARM.NS,ABBOTINDIA.NS,SANOFI.NS,pharma,1,True,False,33.1646,29.7961,7.7899,15.4943,1.0,-0.909751,-0.413066,28.06,True
IPCALAB.NS,BIOCON.NS,ABBOTINDIA.NS,pharma,1,True,False,33.0851,29.7961,8.5123,15.4943,1.0,-0.895215,-0.80544,23.48,True
MOTHERSON.NS,TIINDIA.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,33.0508,29.7961,8.8186,15.4943,1.0,0.370732,-1.727819,24.9,True
DRREDDY.NS,ABBOTINDIA.NS,NATCOPHARM.NS,pharma,1,True,False,32.9981,29.7961,11.8414,15.4943,1.0,-0.506243,-0.56814,27.97,True
BOSCHLTD.NS,BHARATFORG.NS,BALKRISIND.NS,auto_ancillary,1,True,False,32.9439,29.7961,12.1408,15.4943,1.0,-1.034783,0.574925,25.17,True
DRREDDY.NS,BIOCON.NS,LAURUSLABS.NS,pharma,1,True,False,32.8067,29.7961,6.7355,15.4943,1.0,0.96801,-0.393329,119.78,True
BALKRISIND.NS,SCHAEFFLER.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,32.7893,29.7961,15.3701,15.4943,1.0,0.110113,-1.239586,59.66,True
DRREDDY.NS,ABBOTINDIA.NS,GLENMARK.NS,pharma,1,True,False,32.7522,29.7961,11.2957,15.4943,1.0,-0.06723,-0.452659,86.52,True
BOSCHLTD.NS,BALKRISIND.NS,TIINDIA.NS,auto_ancillary,1,True,False,32.6869,29.7961,9.2603,15.4943,1.0,0.848087,-0.57203,38.11,True
DRREDDY.NS,SANOFI.NS,GLENMARK.NS,pharma,1,True,False,32.6017,29.7961,12.6127,15.4943,1.0,-0.614043,-0.30566,68.68,True
SUNDRMFAST.NS,SUPRAJIT.NS,GABRIEL.NS,auto_ancillary,1,True,False,32.5985,29.7961,2.8797,15.4943,1.0,-0.916472,-0.211503,15.6,True
IPCALAB.NS,SANOFI.NS,GRANULES.NS,pharma,1,True,False,32.5298,29.7961,11.6374,15.4943,1.0,-0.669737,-0.377831,32.49,True
BHARATFORG.NS,ENDURANCE.NS,TIINDIA.NS,auto_ancillary,1,True,False,32.4836,29.7961,7.4927,15.4943,1.0,-0.792675,-0.225469,16.89,True
SCHAEFFLER.NS,SUNDRMFAST.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,32.4715,29.7961,9.8408,15.4943,1.0,-11.714006,11.93743,21.18,True
BHARATFORG.NS,ENDURANCE.NS,MINDACORP.NS,auto_ancillary,1,True,False,32.3464,29.7961,6.7615,15.4943,1.0,-0.849633,-0.3023,16.04,True
LUPIN.NS,TORNTPHARM.NS,ALKEM.NS,pharma,1,True,False,32.3062,29.7961,5.1491,15.4943,1.0,37.878351,-40.612147,27.0,True
IPCALAB.NS,SANOFI.NS,GLENMARK.NS,pharma,1,True,False,32.2414,29.7961,11.7442,15.4943,1.0,-2.103096,0.371275,40.44,True
DRREDDY.NS,NATCOPHARM.NS,GLENMARK.NS,pharma,1,True,False,32.2401,29.7961,10.7346,15.4943,1.0,-0.542332,-0.316977,75.23,True
SUNPHARMA.NS,IPCALAB.NS,BIOCON.NS,pharma,1,True,False,32.0767,29.7961,6.3347,15.4943,1.0,-1.771635,1.84794,20.56,True
BHARATFORG.NS,SCHAEFFLER.NS,ENDURANCE.NS,auto_ancillary,1,True,False,31.9341,29.7961,7.4432,15.4943,1.0,-0.246322,-1.001125,16.74,True
MOTHERSON.NS,BALKRISIND.NS,ENDURANCE.NS,auto_ancillary,1,True,False,31.8645,29.7961,12.8488,15.4943,1.0,-0.082176,-1.437142,25.6,True
ENDURANCE.NS,TIINDIA.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,31.8229,29.7961,8.4281,15.4943,1.0,0.307213,-1.301578,25.08,True
BALKRISIND.NS,MINDACORP.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,31.7304,29.7961,13.9189,15.4943,1.0,0.302324,-1.556422,45.91,True
SUNDRMFAST.NS,TIINDIA.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,31.7155,29.7961,10.8359,15.4943,1.0,-0.034683,-1.054118,21.22,True
DRREDDY.NS,ABBOTINDIA.NS,LAURUSLABS.NS,pharma,1,True,False,31.5885,29.7961,10.9515,15.4943,1.0,-0.524582,-0.122064,61.53,True
AUROPHARMA.NS,ABBOTINDIA.NS,ZYDUSLIFE.NS,pharma,1,True,False,31.5656,29.7961,9.7929,15.4943,1.0,1.844868,-1.601687,45.36,True
MOTHERSON.NS,MINDACORP.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,31.4963,29.7961,10.0608,15.4943,1.0,0.275066,-1.328577,22.85,True
CIPLA.NS,TORNTPHARM.NS,ALKEM.NS,pharma,1,True,False,31.487,29.7961,9.3358,15.4943,1.0,-3.116698,2.258195,24.57,True
TORNTPHARM.NS,BIOCON.NS,LAURUSLABS.NS,pharma,1,True,False,31.4796,29.7961,4.1772,15.4943,1.0,1.825707,-0.532774,90.44,True
DRREDDY.NS,ABBOTINDIA.NS,ZYDUSLIFE.NS,pharma,1,True,False,31.4251,29.7961,12.2535,15.4943,1.0,0.462433,-0.777822,64.7,True
TORNTPHARM.NS,ZYDUSLIFE.NS,GLENMARK.NS,pharma,1,True,False,31.4234,29.7961,8.6101,15.4943,1.0,14.597132,-15.817024,79.85,True
BHARATFORG.NS,ENDURANCE.NS,SUPRAJIT.NS,auto_ancillary,1,True,False,31.3754,29.7961,14.9216,15.4943,1.0,33.254523,-23.005958,34.04,True
DRREDDY.NS,AUROPHARMA.NS,ABBOTINDIA.NS,pharma,1,True,False,31.3524,29.7961,13.6123,15.4943,1.0,-0.396555,-0.550304,26.9,True
IPCALAB.NS,SANOFI.NS,NATCOPHARM.NS,pharma,1,True,False,31.3376,29.7961,13.4823,15.4943,1.0,-2.357014,0.551089,51.73,True
