ticker_1,ticker_2,sector,eg_pvalue,eg_direction,eg_significant,beta,jo_trace_stat,jo_trace_cv,jo_significant,both_significant,half_life_days,hl_tradeable
SUNDRMFAST.NS,SUPRAJIT.NS,auto_ancillary,0.002241,SUPRAJIT.NS~SUNDRMFAST.NS,True,1.170819,20.8777,15.4943,True,True,21.72,True
TORNTPHARM.NS,ALKEM.NS,pharma,0.005622,ALKEM.NS~TORNTPHARM.NS,True,1.137368,16.6605,15.4943,True,True,26.4,True
BHARATFORG.NS,SUNDRMFAST.NS,auto_ancillary,0.010882,BHARATFORG.NS~SUNDRMFAST.NS,True,0.853511,16.5844,15.4943,True,True,24.75,True
ABBOTINDIA.NS,GLENMARK.NS,pharma,0.014838,ABBOTINDIA.NS~GLENMARK.NS,True,0.465742,18.2884,15.4943,True,True,108.47,True
TORNTPHARM.NS,ABBOTINDIA.NS,pharma,0.021659,ABBOTINDIA.NS~TORNTPHARM.NS,True,1.019755,23.6146,15.4943,True,True,30.92,True
ABBOTINDIA.NS,ZYDUSLIFE.NS,pharma,0.025731,ABBOTINDIA.NS~ZYDUSLIFE.NS,True,0.734324,17.811,15.4943,True,True,75.45,True
SUNPHARMA.NS,ABBOTINDIA.NS,pharma,0.027022,ABBOTINDIA.NS~SUNPHARMA.NS,True,1.476265,16.2563,15.4943,True,True,66.51,True
DIVISLAB.NS,LAURUSLABS.NS,pharma,0.03323,LAURUSLABS.NS~DIVISLAB.NS,True,0.457586,17.7641,15.4943,True,True,40.45,True
DRREDDY.NS,GLENMARK.NS,pharma,0.039285,DRREDDY.NS~GLENMARK.NS,True,0.556254,19.6624,15.4943,True,True,81.61,True
ENDURANCE.NS,SUPRAJIT.NS,auto_ancillary,0.043506,ENDURANCE.NS~SUPRAJIT.NS,True,0.6257,17.1458,15.4943,True,True,34.54,True
